,Unnamed: 0,id,segment_id,aspect_lemmatized,opinion_lemmatized,sentiment
0,0,15,1,A5,shining example high end downsizing,pos
1,,15,1,size,midsize,neu
2,1,15,2,shape,conservative,neu
3,,15,2,shape,lack edge,neg
4,,15,2,shape,age well,pos
5,,15,2,shape,classy,pos
6,,15,2,interior,different,pos
7,,15,2,car,mordern interpretation BMW classsic aesthetic,pos
8,2,15,3,character,stately,pos
9,,15,3,grip,proper BMW,pos
10,,15,3,brake,proper BMW,pos
11,,15,3,accelerate,proper BMW,pos
12,,15,3,sensation,deluded degree,pos
13,,15,3,comfort,big,pos
14,,15,3,ride quality,totally comfortable,pos
15,,15,3,ride quality,hair Mercedes Eclass,pos
16,,15,3,drive,lie smaller seven,neu
17,,15,3,luxury spectrum,bad thing,pos
18,3,15,4,noise suppression,positively top notch,pos
19,4,15,5,turning radius,insanely tight,neu
20,,15,5,seat,adjustment point,pos
21,6,15,7,steering wheel,laughably thick,neu
22,,15,7,sun visor,slide,neg
23,,15,7,instrument cluster,beautifully mix physical digital design element,pos
24,,15,7,seat,ruby,pos
25,7,15,8,center tunnel,huge,neu
26,,15,8,rear seat,foldable,pos
27,,15,8,floor,low,pos
28,,15,8,floor,flat,pos
29,,15,8,boot capacity,vast,pos
30,,15,8,boot capacity,supremely usable,pos
31,8,15,9,acceleration,swift,pos
32,,15,9,range,pure electric,pos
33,,15,9,engine stop start feature,save fuel,pos
34,9,15,10,drive mode,customized driving experience,pos
35,,15,10,drive mode,operate expected,pos
36,,15,10,ICO mode,surprisingly fun,pos
37,,15,10,sport mode,dedicated,pos
38,,15,10,front seat side bolster,tighten,pos
39,10,15,11,price,offer wide range,pos
40,,15,11,basic five series,perfect lovely conveyance,pos
41,,15,11,front seat,16 way adjustable,neu
42,,15,11,headlight,adaptive led,neu
43,11,15,12,pricier version,plethora automotive delight,pos
44,,15,12,front seat,massaging,pos
45,,15,12,front seat,ventilated,pos
46,12,15,13,audio system,glorious sounding,pos
47,,15,13,audio system,premium,pos
48,,15,13,steering system,adaptive,neu
49,,15,13,steering system,work well untill,neg
50,13,15,14,safety technology,advanced,pos
51,,15,14,side collision avoidance system,automatically steer away,pos
52,,15,14,adaptive steering,personalized,pos
53,14,15,15,trim,numerous upholstery,pos
54,,15,15,interior,real centrepiece,pos
55,15,15,16,I drive,completely revamped,pos
56,,15,16,I drive,touch screen,neu
57,,15,16,remote gesture control,simplified,pos
58,16,15,17,-,-,-
59,17,15,18,-,-,-
60,18,15,19,Apple carplay,work nearly good tether solution,pos
61,19,15,20,Android auto,unrelated technology,neg
62,20,15,21,camera system,coolest,pos
63,21,15,22,-,-,-
64,22,15,23,Audi A6,well rounded,pos
65,,15,23,S90,sweetest,pos
66,,15,23,price,higher starting price,neg
67,,15,23,Mercedes-Benz e class,lot like flag ship sclass,neu
68,,15,23,Mercedes-Benz e class,big fan,pos
69,,15,23,Mercedes-Benz e class,smaller,neu
70,23,15,24,Mercedes-Benz e class,similar concept early predecessor,neu
71,,15,24,Mercedes-Benz e class,engaging,neg
72,24,15,25,technology,huge leap forward,pos
73,,15,25,interior sophistication,huge leap forward,pos
74,25,15,26,nameplate,embracing change,pos
75,,15,26,nameplate,refreshing,pos
76,26,15,27,-,-,-
77,27,16,1,character,,pos
78,,16,1,height,lower,pos
79,,16,1,length,longer,pos
80,,16,1,car,wider,pos
81,,16,1,design,aggressively sophisticated spin,pos
82,,16,1,car,convertible,pos
83,,16,1,performance,high,pos
84,28,16,2,hood,elongated,neu
85,,16,2,vent,specially designed,pos
86,,16,2,vent,reduce drag,pos
87,,16,2,roofline,sweeping,neu
88,,16,2,deck lid,short,neu
89,29,16,3,stance,low,neu
90,,16,3,centre gravity,lowest,neu
91,,16,3,exterior design,head turning,pos
92,,16,3,interior,shortcoming,neu
93,30,16,4,cabin layout,elegant,pos
94,,16,4,cabin layout,ergonomically sound,pos
95,,16,4,cabin layout,glaring abscense basic creature comfort,neg
96,31,16,5,-,-,-
97,32,16,6,driving dynamic,clear advantage,pos
98,,16,6,ride,impeccabbly balanced,pos
99,,16,6,handling package,renowned,pos
100,,16,6,ride quality,befitting car,pos
101,,16,6,noise,make evident high speed,neg
102,,16,6,suspension,work harmoniously,pos
103,,16,6,chasis,work harmoniously,pos
104,,16,6,brake,easy modulate,pos
105,,16,6,steering,electrically assissted,pos
106,,16,6,steering feedback,noticeably better,pos
107,,16,6,steering response,noticeably better,pos
108,,16,6,steering,inclination towards understeer,neg
109,33,16,7,cargo area,larger,pos
