,Unnamed: 0,id,segment_id,aspect,opinion,sentiment
0,0,15,1,A5,shining example of high end downsizing,pos
1,,15,1,size,midsize,neu
2,1,15,2,shape,conservative,neu
3,,15,2,shape,lack edge,neg
4,,15,2,shape,age well,pos
5,,15,2,shape,classy,pos
6,,15,2,interior,different,pos
7,,15,2,car,mordern interpretation of BMW classsic aesthetic,pos
8,2,15,3,character,stately,pos
9,,15,3,grip,proper BMW,pos
10,,15,3,brake,proper BMW,pos
11,,15,3,accelerate,proper BMW,pos
12,,15,3,sensations,deluded to some degree,pos
13,,15,3,comfort,big on,pos
14,,15,3,ride quality,totally comfortable,pos
15,,15,3,ride quality,hair further than Mercedes Eclass,pos
16,,15,3,drive,more lie a smaller seven,neu
17,,15,3,luxury spectrum,not a bad thing,pos
18,3,15,4,noise suppression,positively top notch,pos
19,4,15,5,turning radius,insanely tight,neu
20,,15,5,seats,more adjustment points,pos
21,6,15,7,steering wheel,laughably thick,neu
22,,15,7,sun visors,don't slide,neg
23,,15,7,instrument cluster,beautifully mixes physical and digital design elements,pos
24,,15,7,seats,ruby,pos
25,7,15,8,center tunnel,huge,neu
26,,15,8,rear seats,foldable,pos
27,,15,8,floor,low,pos
28,,15,8,floor,flat,pos
29,,15,8,boot capacity,vast,pos
30,,15,8,boot capacity,supremely usable,pos
31,8,15,9,acceleration,swift,pos
32,,15,9,range,pure electric,pos
33,,15,9,engine stop start feature,saves fuel,pos
34,9,15,10,drive modes,customized driving experience,pos
35,,15,10,drive modes,operate as expected,pos
36,,15,10,ICO mode,surprisingly fun,pos
37,,15,10,sport mode,so dedicated,pos
38,,15,10,front seat side bolster,tighten,pos
39,10,15,11,price,offers wide range,pos
40,,15,11,basic five series,perfect lovely conveyance,pos
41,,15,11,front seats,16 way adjustable,neu
42,,15,11,headlights,adaptive led,neu
43,11,15,12,pricier versions,plethora of automotive delights,pos
44,,15,12,front seats,massaging,pos
45,,15,12,front seats,ventilated,pos
46,12,15,13,audio systems,glorious sounding,pos
47,,15,13,audio systems,premium,pos
48,,15,13,steering system,adaptive,neu
49,,15,13,steering system,works well untill it doesn't,neg
50,13,15,14,safety technology,advanced,pos
51,,15,14,side collision avoidance system,automatically steers you away,pos
52,,15,14,adaptive steering,further personalized,pos
53,14,15,15,trim,numerous upholstery,pos
54,,15,15,interior,real centrepieces,pos
55,15,15,16,I drive,completely revamped,pos
56,,15,16,I drive,touch screen,neu
57,,15,16,remote gesture control,simplified,pos
58,16,15,17,-,-,-
59,17,15,18,-,-,-
60,18,15,19,Apple carplay,works nearly as good as the tether solution,pos
61,19,15,20,Android auto,unrelated technology,neg
62,20,15,21,camera system,coolest,pos
63,21,15,22,-,-,-
64,22,15,23,Audi A6,well rounded,pos
65,,15,23,S90,sweetest,pos
66,,15,23,price,higher starting price,neg
67,,15,23,Mercedes-Benz e class,lot like flag ship sclass,neu
68,,15,23,Mercedes-Benz e class,big fans,pos
69,,15,23,Mercedes-Benz e class,smaller,neu
70,23,15,24,Mercedes-Benz e class,similar concept as early predecessors,neu
71,,15,24,Mercedes-Benz e class,not as engaging,neg
72,24,15,25,technology,huge leap forward,pos
73,,15,25,interior sophistication,huge leap forward,pos
74,25,15,26,nameplate,embracing change,pos
75,,15,26,nameplate,refreshing,pos
76,26,15,27,-,-,-
77,27,16,1,character,all on its own,pos
78,,16,1,height,lower,pos
79,,16,1,length,longer,pos
80,,16,1,car,wider,pos
81,,16,1,design,more aggressively sophisticated spin,pos
82,,16,1,car,convertible,pos
83,,16,1,performance,high,pos
84,28,16,2,hood,elongated,neu
85,,16,2,vents,specially designed,pos
86,,16,2,vents,reduce drag,pos
87,,16,2,roofline,sweeping,neu
88,,16,2,deck lid,short,neu
89,29,16,3,stance,low,neu
90,,16,3,centre of gravity,lowest,neu
91,,16,3,exterior design,head turning,pos
92,,16,3,interior,shortcoming,neu
93,30,16,4,cabin layout,elegant,pos
94,,16,4,cabin layout,ergonomically sound,pos
95,,16,4,cabin layout,glaring abscense of basic creature comforts,neg
96,31,16,5,-,-,-
97,32,16,6,driving dynamics,clear advantage,pos
98,,16,6,ride,impeccabbly balanced,pos
99,,16,6,handling package,renowned,pos
100,,16,6,ride quality,befitting of a car,pos
101,,16,6,noise,makes itself evident at high speed,neg
