,id,segment_id,review,aspect,opinion,sentiment,topic
0,15,1,"as Americans continue to fall out of love with full size . Sedan's midsize is air picking up the slack but closely mimicking their flagship kin . When it comes to well , pretty much everything . A5 Siri's is just another shining example of high end downsizing in Action wing , slightly less in the previous iteration , the newest five , Siri's looks like BMW .",A5,shining example of high end downsizing,pos,general-information
1,15,1,"as Americans continue to fall out of love with full size . Sedan's midsize is air picking up the slack but closely mimicking their flagship kin . When it comes to well , pretty much everything . A5 Siri's is just another shining example of high end downsizing in Action wing , slightly less in the previous iteration , the newest five , Siri's looks like BMW .",size,midsize,neu,general-information
2,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,conservative,neu,quality-aesthetic
3,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,lack edge,neg,quality-aesthetic
4,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,age well,pos,quality-aesthetic
5,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",shape,classy,pos,quality-aesthetic
6,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",interior,different,pos,quality-aesthetic
7,15,2,"It's conservative shape might lack edge , but it should age wealth well , call it classy . Inside is a different story where , unlike previous generations , the interior actually looks and feels different . This is the modern interpretation of BMW classic aesthetic I'd always hoped for .",car,modern interpretation of BMW classic aesthetic,pos,quality-aesthetic
8,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",character,stately,pos,quality-aesthetic
9,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",grip,proper BMW,pos,handling
10,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",brake,proper BMW,pos,handling
11,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",accelerate,proper BMW,pos,handling
12,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",sensations,deluded to some degree,neg,handling
13,15,3,"And that stately character carries over to the driving experience because now the five series drives last like a larger A3 Siri's and more like a smaller seven . If your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . To be clear , the five still grips , breaks and accelerates like a proper BMW . It's just the sensations of doing so have been deluded to some degree . As a result , though , A5 delivers big on comfort , right quality is just a hair further than that of the Mercedes E class but still totally comfortable .",comfort,big on,pos,comfort
