aspect,base_category
miles,distance / efficiency / mileage
mechanical upgrades,engine / power train
circular dial,physical controls
a5 cooper,model / generic car terms
rs5 quality,quality & durability
e 43 a m g,model / generic car terms
land rover discovery sport,model / generic car terms
rubber,exterior materials & finish
models,model / generic car terms
transmission,transmission
years,model / generic car terms
space,passenger space
blowers,climate / temperature control
entertainment screen,displays / instrumentation
dynamic exhaust,exhaust
corner in wet weather,road terrain
bumper sticks,rear section
delivering,performance
air blower,aerodynamics / airflow
load lips,boot / cargo
suspension tuning,suspension
quilting,interior materials & trim / finish
locks,keys & lock
sound,audio
sharp bumps,road terrain
m5 competition,model / generic car terms
m 8 50 i the 4.4 litre twin turbo v8,engine / power train
sd card slot,connectivity / integration
no control for rear window,physical controls
charge,fuel / energy / charging
consumption,distance / efficiency / mileage
apple carplay,connectivity / integration
modern startup technology,technology
wood trim effect,design
mud,road terrain
back seat control,seats
arm,seats
rear passenger space,passenger space
comfort suspension corner handling,driving dynamics / handling
inside enhancements,interior
apple carplay,connectivity / integration
cargo room,boot / cargo
rotate,driving dynamics / handling
tires,wheels & tyres
drive train technology,technology
virtual cockpit,displays / instrumentation
cargo volume,boot / cargo
second row,passenger space
knee room,passenger space
competition pack,packages / trims / variants
soft pillow,seats
a6 weight,weight
few pieces of plastic,interior materials & trim / finish
process,technology
extra bracing,chassis / structural
v10 twin turbo charge,engine / power train
reversing assistant,driver assistance
seven speed automatic transmission,transmission
load,boot / cargo
road imperfections,road terrain
taste,emotional & sensory experience
hybrid engine,engine / power train
automatic acceleration,acceleration
roof rains,roof
carbon ceramics,brake
reductive sport end suspension,suspension
potential performance,performance
driver distraction,drive
lighting animations,lighting / indicators
contouring,seats
aspects,generic description & miscellaneous
character lines,body class
bolsters,seats
fold down rear seats,seats
buy,value / cost
head,front section
adults in back,passenger space
red cable hybrid engine,engine / power train
magic body control,body class
air suspension,suspension
exhaust volume,exhaust
fitting a child seat,seats
a5 seats,seats
top down display,roof
bmw three series new,model / generic car terms
tank,fuel / energy / charging
boxes,boot / cargo
noise flow,audio
m3,model / generic car terms
entry level,packages / trims / variants
storage drawer,storage & utility
sporty suspension,suspension
seat belts,safety
metallic flack,exterior materials & finish
technology price,value / cost
rev counter,engine / power train
qa8,model / generic car terms
car,generic description & miscellaneous
storage underneath,storage & utility
content,technology
performance figures,performance
cabriole price entry point,body type
looks,design
bmw 3 40 i  engine,engine / power train
s4,model / generic car terms
rear following front,driving dynamics / handling
behaving,driving dynamics / handling
aero bits price,aerodynamics / airflow
prices,road terrain
structural rigidity,chassis / structural
sophistication,emotional & sensory experience
boot underfloor area,boot / cargo
front face,front section
shift operation,transmission
materials,interior materials & trim / finish
storage bits,storage & utility
beam span,lighting / indicators
car feels,emotional & sensory experience
electric motor,engine / power train
rear headroom,passenger space
air bags,safety
panoramic glass freeze,roof
off switch,physical controls
head room,passenger space
exhaust,exhaust
frame,build quality / construction
launch control process,acceleration
wind whistles,audio
air breather,aerodynamics / airflow
carrying stuff,boot / cargo
sand dunes,road terrain
surround cameras,cameras
display unit,displays / instrumentation
new battery pack,model / generic car terms
rear seatbacks,seats
navigation system,navigation / mapping
c e400,model / generic car terms
bmw i three,model / generic car terms
blind spot,safety
ferry three,passenger space
surround view parking,visibility & view
everything,functionality & features
support adjustments,comfort & ergonomics
right on the road,road terrain
long distances,design
tyres,wheels & tyres
over six foot people,passenger space
ability,performance
volvo xc60 room,passenger space
woods,road terrain
a7 practicality,comfort & ergonomics
backpacks,storage & utility
upholstery,interior materials & trim / finish
x6,model / generic car terms
driving position,drive
back headroom,passenger space
grill,grill
towbar,storage & utility
value for money,value / cost
horns,audio
orange peel,exterior materials & finish
elements,design
whole package,packages / trims / variants
2.1 litre turbo diesel four cylinder,engine / power train
satellite system,navigation / mapping
out,body class
exterior,exterior materials & finish
carrying five once,passenger space
normal driving speed,drive
few things,generic description & miscellaneous
six speed manual,transmission
0 to 60 spread,acceleration
glove boxes,boot / cargo
does everything,functionality & features
load cover,boot / cargo
driving,drive
rear window shades,aerodynamics / airflow
edges,body class
highway efficiency,road terrain
outside dimensions,body class
storage space,passenger space
striping,design
back get in,doors
badges,design
audi r8,model / generic car terms
a4 driving position,model / generic car terms
1.5 l engine,engine / power train
back seats down,seats
vocal,voice & commands
gt -r,model / generic car terms
estate cars,body type
gauge setup,displays / instrumentation
coasting,driving dynamics / handling
amg a4 g5,model / generic car terms
start,engine / power train
boot height,boot / cargo
signature on every windscreen,windscreen / wipers
latest version,packages / trims / variants
power band,engine / power train
downhill,road terrain
haunches,body class
rear window,aerodynamics / airflow
sensations,emotional & sensory experience
smaller people,passenger space
turbulence,aerodynamics / airflow
comfort level,comfort & ergonomics
learn to drive,drive
external panel,exterior materials & finish
four people,passenger space
mirrors,mirrors
stop,brake
protection,safety
vent,aerodynamics / airflow
sailing mode,driving dynamics / handling
current design,design
interface operation,software / interaction
money,value / cost
first generation drive,model / generic car terms
storage jets,storage & utility
electric car,fuel / energy / charging
backrest,seats
s5 sport back launch,acceleration
light,lighting / indicators
off roader,road terrain
material selection,physical controls
long term reliability,value / cost
a8 reversing,model / generic car terms
tech features,functionality & features
stop start system,brake
front armrest,seats
engine start button,engine / power train
pricewise,road terrain
contrast,design
digital dash,displays / instrumentation
driver satisfaction,drive
offroad sound,audio
get in the back,doors
dash angles,displays / instrumentation
manual sport mode,transmission
front bottom,front section
back,rear section
weirdness,emotional & sensory experience
shocks,driving dynamics / handling
fuel consumption,fuel / energy / charging
swiping zoom manoeuvres,gesture / motion controls
s line indicators,displays / instrumentation
emergency services button,model / generic car terms
specifications,options & specifications
most laid back position,comfort & ergonomics
handles,doors
tops,roof
tail lamps,lighting / indicators
car tire pot,wheels & tyres
sedan,body type
mercedes c 63 or a bmw m3,model / generic car terms
automatic gear,transmission
scuff plates,exterior materials & finish
door design,design
road,road terrain
profiles,design
rear wheel drive,drive
air breathers,aerodynamics / airflow
left hand drive steering wheel,steering
stereo volume control,audio
offroad travel,road terrain
canyon,road terrain
potholes,road terrain
dynamics,driving dynamics / handling
wheel arches,exterior materials & finish
rs5,model / generic car terms
steering column,steering
gt three wet road,model / generic car terms
efficiency,distance / efficiency / mileage
back roofline,roof
rear wheels,drive
roof rails,roof
look over shoulder,design
expense,value / cost
storage pack,storage & utility
turbos,engine / power train
carbon trim price,design
gearboxes,transmission
crackles,emotional & sensory experience
electronic system,software / interaction
turns in,cornering
automatic gear selector,transmission
hatchback tailgate,boot / cargo
wheel look change,design
dynamic gearbox shift,transmission
obstacles,road terrain
quattro system petrol,model / generic car terms
rs5 color,design
spaces,passenger space
g l e 63,model / generic car terms
seatbelt butler,seats
black box on white red,emotional & sensory experience
storage areas,storage & utility
under floor support,chassis / structural
front apron port,front section
torque uplift,engine / power train
back view,visibility & view
dynamic downshift,transmission
motorways,engine / power train
a4 ultra,model / generic car terms
cooling ducts,aerodynamics / airflow
big bulky child safe,safety
tail light color,design
backend,rear section
audi g5,model / generic car terms
structural integrity,build quality / construction
seat adjustment,seats
wood veneer,interior materials & trim / finish
steering wheel in parking,steering
speed on,acceleration
cruiser,driver assistance
street limit,road terrain
interior quality,interior
air bladders,aerodynamics / airflow
360 degree camera system,cameras
offset pedals,brake
open the bonnet,bonnet
voice control system,voice & commands
integrated laser lights,lighting / indicators
rear peasant blocker,visibility & view
attitude,model / generic car terms
high speed motorways,engine / power train
command,voice & commands
race,performance
front passenger seat,seats
level,dimensions & measurements
tire looks,design
comfort mode ride,comfort & ergonomics
water porting,fuel / energy / charging
cushion,seats
audi q5,model / generic car terms
central locking,keys & lock
m 7 60,model / generic car terms
cruising ability,driver assistance
petrol tank,fuel / energy / charging
pillows,seats
central locking sound,audio
premium plus trim level,design
new audi rs three,model / generic car terms
lift,boot / cargo
fake sound,audio
side vents,aerodynamics / airflow
six cylinder car,engine / power train
cargo area,boot / cargo
roofline,roof
s5 sport back torque,engine / power train
touch,gesture / motion controls
damper suspension,suspension
f40 i x dr,model / generic car terms
cruising around,driver assistance
interface,software / interaction
upgraded sound system,audio
pedal field,brake
standing quarter,acceleration
value,value / cost
0 to 60,acceleration
volume knob,physical controls
rear passenger door bins,passenger space
nameplate,model / generic car terms
audio system,model / generic car terms
steering control,steering
efficiency system,distance / efficiency / mileage
front track,dimensions & measurements
launch,acceleration
i drive system,drive
connection to front axle,driving dynamics / handling
six series gt,model / generic car terms
ceiling,roof
stance,design
v8 engine,engine / power train
overhangs,aerodynamics / airflow
three people in the back,passenger space
controls,physical controls
rear view,visibility & view
fold seats down,seats
turn,cornering
uphill drive,drive
front area,front section
underfloor compartment,storage & utility
chassis,chassis / structural
back trim,interior materials & trim / finish
wood,interior materials & trim / finish
rocks,road terrain
back knee room,passenger space
gauge display,displays / instrumentation
speed transmission shifts,transmission
body kit,body class
main entertainment screen,displays / instrumentation
offroad mode,road terrain
sports plus,driving dynamics / handling
manoeuvring speeds,steering
velocity,performance
steering system,steering
center seat,seats
kneeroom,passenger space
diesel version,fuel / energy / charging
coat hook,storage & utility
steel,exterior materials & finish
screen,displays / instrumentation
visibility,visibility & view
front end grip,cornering
feels,emotional & sensory experience
swivel wheel,wheels & tyres
visibility,visibility & view
hybrid system,fuel / energy / charging
mode,driving dynamics / handling
digital space,passenger space
storage nooks,storage & utility
plenty of things,generic description & miscellaneous
heat pump,climate / temperature control
paddle shifter,transmission
propulsion,engine / power train
paddle shift gearbox,transmission
junctions in efficiency mode,fuel / energy / charging
key,keys & lock
a3 looks,design
rs6 everyday performance,model / generic car terms
drive long way,drive
on track performance,performance
below body structure,body class
car interaction,software / interaction
tv chair,displays / instrumentation
purple ambient lighting,lighting / indicators
virtual 360 degree cameras,cameras
experience,emotional & sensory experience
goodies,functional features
exteriors,exterior materials & finish
magic sky control,roof
adult occupant protection in the crash test .,safety
small,dimensions & measurements
speed,acceleration
top up,roof
hooks,storage & utility
control,physical controls
long haul,distance / efficiency / mileage
stereo system,audio
buttons,model / generic car terms
brightness,lighting / indicators
serious offroad,road terrain
driving modes,drive
laser beam headlights,lighting / indicators
car start,model / generic car terms
cover storage,storage & utility
high speed,acceleration
fittings,model / generic car terms
carbon fibre trim,design
q3,model / generic car terms
surfacing treatment,design
false floor,boot / cargo
stitching,interior materials & trim / finish
spirit,emotional & sensory experience
oil,fuel / energy / charging
graphic,displays / instrumentation
footspace,passenger space
take off,acceleration
lower section,boot / cargo
exhaust noise (dynamic mode),exhaust
long distance,design
stability control,traction / stability
space in backseats,passenger space
m 135,model / generic car terms
over six foot,passenger space
beeping,audio
cruise,driver assistance
rs6,model / generic car terms
boot spoiler,fuel / energy / charging
ventilation controls,aerodynamics / airflow
playing music,audio
headlights,lighting / indicators
fixed covers,exterior materials & finish
moon roof shade,roof
engine notes,engine / power train
thirdrow seats,seats
door open,doors
cubby space,passenger space
third row space,passenger space
s line,packages / trims / variants
radio,audio
getting back,model / generic car terms
releases,model / generic car terms
manual transmission,transmission
lights,lighting / indicators
carrying rear passengers,passenger space
ingredients,generic description & miscellaneous
menus,software / interaction
reversing with assistant,driver assistance
electricity,fuel / energy / charging
front discs,brake
boot volume,boot / cargo
front seats sound,seats
concierge service,road terrain
brake callipers,aerodynamics / airflow
speeding,acceleration
crossover,body type
aura,emotional & sensory experience
steering reflexes,steering
camera system,cameras
underline support,chassis / structural
zero petrol use,fuel / energy / charging
going round,road terrain
surfaces,road terrain
two litre diesel engine,engine / power train
surface,road terrain
traffic updates,navigation / mapping
digital gauge,displays / instrumentation
leg room second row,passenger space
discount,brake
boot floor,boot / cargo
a8,model / generic car terms
driving sensation,drive
cabin layout,interior
front seating,seats
travelling,distance / efficiency / mileage
temperature,climate / temperature control
anti friction turbo bearings,engine / power train
isolation,comfort & ergonomics
normal wheel base version,chassis / structural
windows,aerodynamics / airflow
model x,model / generic car terms
parkability,parking
standard entertainment screen,displays / instrumentation
energy,fuel / energy / charging
engine stop start feature,functionality & features
audio systems,model / generic car terms
electric adjustment (steering),steering
head restraints,seats
sound level,audio
battery,model / generic car terms
graphics,displays / instrumentation
architecture platform,chassis / structural
four wheel drive system,drive
parking assistant plus,driver assistance
second row roof,roof
quattro engine,engine / power train
carsick people,model / generic car terms
rs5 looks,design
seating tunnel,seats
audi a7,model / generic car terms
departure angle,road terrain
gestures,gesture / motion controls
rear wheel steering,steering
