,aspect,base_category
0,miles,Distance / Efficiency / Mileage
1,mechanical upgrades,engine / power train
2,circular dial,physical controls
3,a5 cooper,model / generic car terms
4,rs5 quality,model / generic car terms
5,e 43 a m g,model / generic car terms
6,land rover discovery sport,model / generic car terms
7,rubber,exterior materials & finish
8,models,model / generic car terms
9,transmission,transmission
10,years,model / generic car terms
11,space,Passenger Space
12,blowers,climate / temperature control
13,entertainment screen,displays / instrumentation
14,dynamic exhaust,exhaust
15,corner in wet weather,road terrain
16,bumper sticks,road terrain
17,delivering,performance
18,air blower,aerodynamics / airflow
19,load lips,aerodynamics / airflow
20,suspension tuning,suspension
21,quilting,interior materials & trim / finish
22,locks,keys & lock
23,sound,audio
24,sharp bumps,road terrain
25,m5 competition,model / generic car terms
26,m 8 50 i the 4.4 litre twin turbo v8,engine/ power train
27,sd card slot,model / generic car terms
28,no control for rear window,aerodynamics / airflow
29,charge,fuel / energy / charging
30,consumption,Distance / Efficiency / Mileage
31,apple carplay,connectivity / integration
32,modern startup technology,Technology
33,wood trim effect,Design
34,mud,road terrain
35,back seat control,Seats
36,arm,seats
37,rear passenger space,Passenger Space
38,comfort suspension corner handling,Driving Dynamics / Handling
39,inside enhancements,interior
40,apple carplay,connectivity / integration
41,cargo room,Passenger Space
42,rotate,Driving Dynamics / Handling
43,tires,wheels & tyres
44,drive train technology,Technology
45,virtual cockpit,displays / instrumentation
46,cargo volume,boot/cargo
47,second row,passenger space
48,knee room,Passenger Space
49,competition pack,climate / temperature control
50,soft pillow,seats
51,a6 weight,weight
52,few pieces of plastic,exterior materials & finish
53,process,Technology
54,extra bracing,climate / temperature control
55,v10 twin turbo charge,engine/ power train
56,reversing assistant,driver assistance
57,seven speed automatic transmission,transmission
58,load,boot/cargo
59,road imperfections,road terrain
60,taste,Emotional & Sensory Experience
61,hybrid engine,engine / power train
62,automatic acceleration,climate / temperature control
63,roof rains,roof
64,carbon ceramics,model / generic car terms
65,reductive sport end suspension,suspension
66,potential performance,performance
67,driver distraction,drive
68,lighting animations,lighting
69,contouring,Seats
70,aspects,Generic References & Miscellaneous
71,character lines,body class
72,bolsters,seats
73,fold down receipts,Comfort & Ergonomics
74,buy,value / cost
75,head,Front Section
76,adults in back,Passenger Space
77,red cable hybrid engine,engine / power train
78,magic body control,body class
79,air suspension,suspension
80,exhaust volume,exhaust
81,fitting a child seat,model / generic car terms
82,a5 seats,model / generic car terms
83,top down display,roof
84,bmw three series new,model / generic car terms
85,tank,fuel / energy / charging
86,boxes,boot/cargo
87,noise flow,audio
88,m3,model / generic car terms
89,entry level,doors
90,storage drawer,storage & utility
91,sporty suspension,suspension
92,seat belts,seats
93,metallic flack,exterior materials & finish
94,technology price,Value / Cost
95,rev counter,engine/ power train
96,qa8,model / generic car terms
97,car,Generic Description & Miscellaneous
