,aspect,base_category
0,technology,software / interaction
1,adjustment,Comfort & Ergonomics
2,2.5 litre petrol engine,engine / power train
4,engine sound,engine / power train
5,stops,brake
6,haptic feedback,climate / temperature control
9,handled,Driving Dynamics / Handling
10,rs7,model / generic car terms
11,rear track,climate / temperature control
12,get in and out -back,climate / temperature control
13,simplicity,Comfort & Ergonomics
14,camera on the roof,roof
15,manoeuvring,steering
16,spring,suspension
17,damper control,suspension
19,load lips,aerodynamics / airflow
20,cockpit,displays / instrumentation
21,loading,boot/cargo
22,start stop,brake
23,vehicle,model / generic car terms
25,size,dimensions & measurements
26,centre armrest,seats
28,going fast on motorway,acceleration
29,mercedes badge,model / generic car terms
30,body lines,body class
32,rear wheel drive,drive
33,interior,interior
35,sports mode sound,audio
36,surface,climate / temperature control
37,sand,road terrain
38,radio,audio
39,corner exiting traction,climate / temperature control
40,audi badge,model / generic car terms
41,surfaces,climate / temperature control
42,drive,drive
43,storage spaces,storage & utility
44,going round,road terrain
45,space in backseats,climate / temperature control
46,land rover discovery sport,brake
47,visibility at the front,visibility & view
48,dry,road terrain
49,map view,visibility & view
50,normal driving,drive
51,auto mode,Driving Dynamics / Handling
52,a4 boot,model / generic car terms
53,storage space,storage & utility
55,front face,climate / temperature control
56,side wall,body class
57,torque uplift,engine/ power train
58,ski hatch,boot/cargo
59,pricewise,road terrain
60,black stitching,climate / temperature control
61,v10 engine,engine / power train
63,universal garage door opener,doors
64,car wash,model / generic car terms
65,leather upgrade cost,interior materials & trim / finish
66,rocks,road terrain
67,rear spoiler,fuel / energy / charging
68,buying,value / cost
69,manual gearboxes,transmission
70,storage pouch,storage & utility
71,a8,model / generic car terms
72,plastic,exterior materials & finish
73,motor noise,engine/ power train
74,orange peel,exterior materials & finish
75,handbrake,brake
76,air 18,aerodynamics / airflow
77,cup holders,storage & utility
79,second row seats,seats
80,suspension choice,suspension
81,s c car,model / generic car terms
82,standard engine power,engine / power train
83,city driving,drive
84,display screen,displays / instrumentation
86,heads up display,displays / instrumentation
87,driving position,drive
88,door handle,doors
89,open the bonnet,bonnet
90,coat hooks,Comfort & Ergonomics
91,heavy cornering,cornering
93,snow,road terrain
94,lettering,model / generic car terms
95,vibe,design
96,could be space,climate / temperature control
97,lowering backseats,climate / temperature control
98,drive feel,drive
99,radio system,audio
100,wind,aerodynamics / airflow
101,undulations of the road,road terrain
102,parking assistant plus,driver assistance
103,parking sensors,parking
104,electric control for steering will,steering
105,side,body class
106,back wheel,climate / temperature control
109,dynamic package,climate / temperature control
110,vehicle lowest setting,model / generic car terms
111,high speed mobile internet,connectivity / integration
112,voice control system,voice & commands
113,boots,boot/cargo
114,user interface,climate / temperature control
115,lincoln m . k . c,model / generic car terms
116,change direction,steering
118,sporting suspension,suspension
119,rear wheel,drive
120,wheel,wheels & tyres
121,twin turbo petrol horsepower,engine/ power train
122,split gate height,boot/cargo
124,rev. counter,displays / instrumentation
125,backseat environment,climate / temperature control
126,plugin hybrid,fuel / energy / charging
127,saloon,body type
128,fuel,fuel / energy / charging
129,cupholders,storage & utility
130,hold assist price,driver assistance
131,sound proofing,roof
132,keyless entry,doors
