id,aspect,opinion,sentiment,category
23,-,-,-,unknown
23,-,-,-,unknown
23,graphic,drawn on by the child,neg,interior-features
23,slip differential,limited,neg,handling
23,Extinct traction,handy,pos,handling
23,ashtray,love,pos,interior-features
23,carbon ceramics,ideal,pos,quality-aesthetic
23,Vita Engine,fabulous,pos,performance
23,-,-,-,unknown
23,-,-,-,unknown
23,steering,so nice,pos,handling
23,steering,light,pos,handling
23,engine,quick,pos,performance
23,engine,sharp,pos,performance
23,suspension,pretty,pos,performance
23,engine,delightful,pos,performance
23,gearbox,rubbish,neg,performance
23,gearbox,dated,neg,performance
23,gearbox,bad,neg,performance
23,gearbox,flickering,neg,performance
23,-,-,-,unknown
23,-,-,-,unknown
24,large,GT coach,neu,general-information
24,car,swoopy,pos,general-information
24,car,sleek,pos,general-information
24,profile,great,pos,quality-aesthetic
24,Grill,not sure,neg,quality-aesthetic
24,Grill,Big,neg,quality-aesthetic
24,car,sleek,pos,quality-aesthetic
24,car,long,neu,quality-aesthetic
24,car,smart  looking,pos,quality-aesthetic
24,backend,sweet,pos,quality-aesthetic
24,-,-,-,unknown
24,leather,feels very well,pos,quality-aesthetic
24,everything,feels quality,pos,quality-aesthetic
24,mirror cover,feels expensive,pos,quality-aesthetic
24,design,light,neu,quality-aesthetic
24,feel,expensive ish,pos,quality-aesthetic
24,gear selector knob,big,neu,quality-aesthetic
24,gear selector knob,crystal,neu,quality-aesthetic
24,seating,nice,pos,comfort
24,seating,low,pos,comfort
24,seating,spawning,pos,comfort
24,roof,low,neu,comfort
24,seating,comfortable,pos,comfort
24,electric control for steering will,like,pos,comfort
24,sports steering,pretty nice,pos,interior-features
24,entertainment system,quite good fun,neu,user-experience
24,entertainment system,nice to use,pos,user-experience
24,entertainment system,intuitive,pos,user-experience
24,passenger in the back,annoying,neg,comfort
24,roof,low,neg,comfort
24,legs,crush,neg,comfort
24,back,not as comfy,neg,comfort
24,boot,big,pos,exterior-features
24,boot,decent size,pos,exterior-features
24,boot,large,pos,exterior-features
24,floor,flattish,neu,exterior-features
24,boot,impressive,pos,exterior-features
24,-,-,-,unknown
24,-,-,-,unknown
24,exhaust pipe,just a show,neg,exterior-features
24,exhaust pipe,ruined,neg,exterior-features
24,exhaust pipe surround,fake,neg,exterior-features
24,exhaust pipe surround,unnecessarily large,neg,exterior-features
24,satnav,not the smartest,neg,user-experience
24,picking the route,annoying,neg,user-experience
24,-,-,-,unknown
24,system,ironic,neg,user-experience
24,marina leather,soft,pos,quality-aesthetic
24,acceleration noise,weird,neg,comfort
24,-,-,-,unknown
24,features,cool,pos,general-information
24,heads up display,really good,pos,general-information
24,heads up display,nice,pos,interior-features
24,heads up display,big,pos,interior-features
24,heads up display,clear,pos,interior-features
24,camera,brilliant,pos,user-experience
24,Reversing assistant,handy,pos,user-experience
24,Reversing assistant,cool,pos,handling
24,laser headlights,twice as bright,pos,exterior-features
24,cruise control,really cleaver,pos,handling
24,piloted drive system,among the very best,pos,handling
24,outside,massive,neu,safety
24,inside,quite compact,neu,safety
24,bonnet,huge,neu,safety
24,visibility,quite intimidating in tight spaces,neg,safety
24,back window,big,neu,safety
24,experience in town (drive),actually quite good,pos,handling
24,drive,comfy enough,neu,handling
24,drive,not the most luxurious in terms of travelling over bumps,neg,handling
24,gearbox,brilliant,pos,handling
24,long distances,great,pos,performance
24,engine,real real quick,pos,performance
24,engine,super rapid,pos,comfort
24,car,not quite as comfortable,neg,comfort
24,drive,shocked,pos,handling
24,grips in the corners,really impressive,pos,handling
24,wheel turn,feel like a dart in the turn,pos,handling
24,steering,really really good,pos,handling
24,steering,sharp,pos,handling
24,balance,just right,pos,handling
24,steering,fun,pos,handling
24,-,-,-,unknown
24,-,-,-,unknown
24,slip differential,limited,neu,handling
24,BMW,more fun,pos,handling
24,-,-,-,unknown
24,8 Siris,big,pos,general-information
24,8 Siris,luxurious,pos,general-information
25,-,-,-,unknown
25,-,-,-,unknown
25,court,stunning,pos,performance
25,car,fast,pos,performance
25,car,faster,pos,performance
25,wheel drive,dead simple,neu,user-experience
25,-,-,-,unknown
25,-,-,-,unknown
25,standing quarter,good job,pos,performance
25,cost,almost double,neg,cost
25,performance Power,impressive,pos,performance
25,performance Power,not quiet as impressive as,neu,performance
25,carbon fibre engine cover,lovely,pos,performance
25,gearbox,modern,pos,performance
25,talk converter,smoother,pos,performance
25,talk converter,strong enough,pos,performance
25,high pressure oil system,special,pos,performance
25,sound,pretty awesome,pos,performance
25,sound,good,pos,performance
25,look,good,pos,quality-aesthetic
25,look,aggressive,pos,quality-aesthetic
25,look,powerful,pos,quality-aesthetic
25,wheel arches,more pronounced,pos,quality-aesthetic
25,track,wider,neu,quality-aesthetic
25,road holding,improved,pos,quality-aesthetic
25,suspension,stiffened,pos,quality-aesthetic
25,air breather,fake,neg,quality-aesthetic
25,-,-,-,unknown
25,wooden wheel arches,squat,pos,quality-aesthetic
25,wooden wheel arches,purposeful,pos,quality-aesthetic
25,boot spoiler,tidy,pos,quality-aesthetic
25,boot spoiler,little,neg,quality-aesthetic
25,road holding,improved,pos,quality-aesthetic
25,interior,well built,pos,quality-aesthetic
25,entertainment system,excellent,pos,quality-aesthetic
25,seats,M6 port,neu,quality-aesthetic
25,seats,look really cool,pos,comfort
25,seats,great job of hugging your body,pos,comfort
25,blue and red stitches,lovely,pos,quality-aesthetic
25,set buttons,absolutely brilliant,pos,user-experience
25,gear selector,looks a bit tacky,pos,interior-features
25,customization,very important,pos,user-experience
25,car,dual purpose,pos,general-information
25,car,family friendly,pos,general-information
25,car,big,pos,general-information
25,car,relaxed state,pos,general-information
25,car,fast as supercar,pos,general-information
25,-,-,-,unknown
25,steering,more weight,neu,performance
25,exhaust,louder,neu,performance
25,-,-,-,unknown
25,-,-,-,unknown
25,engine,high performance,pos,performance
25,BMW drivers,bad reputation,neg,performance
25,drivers,the worst,neg,general-information
25,drive mode,great set,pos,handling
25,car,big old,neu,handling
25,handle,well,pos,handling
25,super sideways,great thing,pos,handling
25,car,fun,pos,handling
25,life in tires,too long,pos,handling
25,tire,overheated,neg,exterior-features
25,tired,delaminated,neg,exterior-features
25,X drive system,switchable,neu,general-information
25,X drive system,hooligan,neu,general-information
25,car,far quicker,pos,general-information
25,car,more capable,pos,general-information
25,car,incredible machine,pos,general-information
26,-,-,-,unknown
26,outside dimensions,long,neu,quality-aesthetic
26,build,huge,neu,quality-aesthetic
26,proportions,right,pos,quality-aesthetic
26,looks,chunky,neg,quality-aesthetic
26,looks,too tall,neu,quality-aesthetic
26,space,maximize,neu,quality-aesthetic
26,room,loads,pos,comfort
26,absolutely acres of,headroom,pos,comfort
26,back,more spaces,pos,general-information
26,room,enough,pos,comfort
26,back seats,very impressive,pos,comfort
26,seats,comforting,neu,comfort
26,seats,recline well,pos,comfort
26,storage area,useful,pos,comfort
26,room,Loads,pos,exterior-features
26,boot,biggest,pos,exterior-features
26,boot,massive,pos,exterior-features
26,boot shape,Nice,pos,exterior-features
26,car,practical,pos,exterior-features
26,inside,luxurious,pos,quality-aesthetic
26,interior,lovely,pos,quality-aesthetic
26,soft touch plastics,lovely,pos,quality-aesthetic
26,Interior,nicely laid out,pos,quality-aesthetic
26,entertainment system,lovely,pos,interior-features
26,infotainment system,easiest,pos,user-experience
26,cupholders,decent,pos,interior-features
26,door bins,large,neu,interior-features
26,glovebox size,decent,neu,interior-features
26,inside looks,smart,pos,interior-features
26,drive,easy,pos,handling
26,visibility,good,pos,handling
26,windscreen,huge,pos,safety
26,back window,quite large,pos,safety
26,car,comfy,pos,handling
26,adaptive dampers,definitely get,pos,cost
26,adaptive dampers,not that expensive,neu,cost
26,ride,comfy,pos,handling
26,ride,nice,pos,handling
26,engine,really fast,pos,performance
26,BMW X1,good,pos,handling
26,-,-,-,unknown
26,gear selector,huge,pos,interior-features
26,car,pretty luxurious,pos,quality-aesthetic
26,option list,careful,neu,cost
26,parcel shelf,annoying,neg,exterior-features
26,boot,clutter up,neg,exterior-features
26,diesel engine,too little,neg,performance
26,-,-,-,unknown
26,-,-,-,unknown
26,-,-,-,unknown
26,-,-,-,unknown
26,panoramic sunroof,massive,pos,exterior-features
26,storage(front passenger seat),easy,pos,interior-features
26,SUV,small,neu,general-information
26,SUV,premium,neu,general-information
27,car,widest,pos,general-information
27,boot,really big,pos,exterior-features
27,boot,much bigger,pos,exterior-features
27,boot,really really useful,pos,exterior-features
27,boot,wide opening,pos,exterior-features
27,boot,fit quite a lot of stuff,pos,exterior-features
27,seat sliding forward,heavy,neg,comfort
27,seat pulling back,easy,pos,comfort
27,back seats,not that great,neu,comfort
27,back,no real stories,neg,user-experience
27,front story jacket,way better,pos,user-experience
27,-,-,-,unknown
27,nays,annoying,neg,quality-aesthetic
27,cockpit,driver oriented,pos,quality-aesthetic
27,quality,really strong,pos,quality-aesthetic
27,car,very very much like three series,pos,quality-aesthetic
27,design,little bit boring,neg,quality-aesthetic
27,equipment,quite as good,neu,quality-aesthetic
27,car,better,pos,exterior-features
27,-,-,-,unknown
27,satellite navigation,lovely,pos,user-experience
27,windscreen,lovely,pos,user-experience
27,I drive,easy to use,pos,user-experience
27,I drive,best on the market,pos,user-experience
27,glovebox,decent size,pos,user-experience
27,door bins,big,pos,user-experience
27,places in the front,enough,pos,user-experience
27,force,genuinely good,pos,handling
27,drive,fun,pos,handling
27,car,feels like a sports car,pos,handling
27,looks,like soprts car,pos,handling
27,car,almost practical,neu,handling
27,car,A salute,pos,handling
27,adaptive suspension,essential,pos,handling
27,comfort mode,really really comfortable,pos,handling
27,road noise,shame,neg,comfort
27,wind whistle,shame,neg,comfort
27,turbo petrol,really quick,pos,performance
27,turbo petrol,decent economy,pos,performance
27,-,-,-,unknown
27,BMW four Serious,pretty decent,pos,general-information
27,BMW four Serious,all rounder,pos,general-information
27,look,like sports,neu,performance
27,sound,more like a van,neu,performance
27,phone cradle,pointless,neg,interior-features
27,automatic gearbox,extra cost,neg,handling
27,features,cool,pos,general-information
27,centre of gravity,lowest,pos,general-information
27,central hat,enough room,pos,general-information
27,doors,high quality,pos,exterior-features
27,seatbelt,automatic,neu,exterior-features
27,get in the car,creepily,pos,interior-features
