aspect,base_category
technology,Software / Interaction
2.5 litre petrol engine,engine/ power train
engine sound,engine/ power train
stops,brake
handled,lighting
get in and out -back,Doors
camera on the roof,roof
spring,Suspension
damper control,Suspension
load lips,boot_cargo
cockpit,Displays / Instrumentation
loading,boot_cargo
start stop,brake
centre armrest,seats
rear wheel drive,Wheels & Tyres
sand,Road Terrain
corner exiting traction,Cornering / Grip
storage spaces,boot_cargo
space in backseats,seats
Land rover Discovery sport,brake
visibility at the front,Visibility & View
map view,Navigation / Mapping
A4 boot,boot_cargo
storage space,boot_cargo
torque uplift,engine/ power train
pricewise,Road Terrain
V10 engine,engine/ power train
universal garage door opener,Doors
leather upgrade cost,Value / Cost
rocks,Road Terrain
manual gearboxes,transmission
storage pouch,boot_cargo
motor noise,audio
handbrake,brake
cup holders,Storage & Utility
second row seats,seats
suspension choice,Suspension
standard engine power,engine/ power train
display screen,Displays / Instrumentation
door handle,Doors
coat hooks,boot_cargo
heavy cornering,Cornering / Grip
snow,Road Terrain
could be space,passenger space - could be space
lowering backseats,seats
undulations of the road,Road Terrain
parking assistant Plus,Parking
parking sensors,Parking
electric control for steering will,steering
back wheel,Wheels & Tyres
high speed mobile internet,Connectivity / Integration
voice control system,Voice & Commands
boots,boot_cargo
user interface,Software / Interaction
sporting suspension,Suspension
rear wheel,Wheels & Tyres
wheel,Wheels & Tyres
twin turbo petrol horsepower,engine/ power train
backseat environment,seats
plugin hybrid,engine/ power train
fuel,Fuel / Energy / Charging
cupholders,Storage & Utility
hold assist price,Road Terrain
sound proofing,roof
efficiency mode,Fuel / Energy / Charging
air purification system with perfume,Climate / Temperature Control
power,engine/ power train
energy,Fuel / Energy / Charging
look over shoulder,Visibility & View
trunk shape,boot_cargo
silver screen,Displays / Instrumentation
changing gears using paddles,transmission
steering wheel shape,steering
battery size,Fuel / Energy / Charging
no control for rear window,Windows / Glass
gear shifts,transmission
footroom,passenger space - footroom
battery location,Fuel / Energy / Charging
diesel model fuel tank,Fuel / Energy / Charging
window line,Windows / Glass
maximum cargo space,boot_cargo
audio systems,audio
family seat,seats
carbon trim price,Road Terrain
virtual cockpit instrument ,Displays / Instrumentation
throttle,Acceleration
front seats,seats
pockets in backseat,seats
price,Road Terrain
settings,Software / Interaction
tie down tethers,boot_cargo
upshift,transmission
wagon load,boot_cargo
gear changes,transmission
audio,audio
remote key operations,Driver_Assistance
automatic engine start stop system,engine/ power train
nine speed automatic,transmission
middle seat,seats
side collision avoidance system,Safety
0 to 60 spread,Acceleration
upgraded command system,Software / Interaction
