id,segment_id,review,aspect,opinion,sentiment
15,1,"as americans continue to fall out of love with full size . sedan's midsize is air picking up the slack but closely mimicking their flagship kin . when it comes to well , pretty much everything . a5 siri's is just another shining example of high end downsizing in action wing , slightly less in the previous iteration , the newest five , siri's looks like bmw .",a5,shining example of high end downsizing,pos
15,1,"as americans continue to fall out of love with full size . sedan's midsize is air picking up the slack but closely mimicking their flagship kin . when it comes to well , pretty much everything . a5 siri's is just another shining example of high end downsizing in action wing , slightly less in the previous iteration , the newest five , siri's looks like bmw .",size,midsize,neu
15,2,"it's conservative shape might lack edge , but it should age wealth well , call it classy . inside is a different story where , unlike previous generations , the interior actually looks and feels different . this is the modern interpretation of bmw classic aesthetic i'd always hoped for .",shape,conservative,neu
15,2,"it's conservative shape might lack edge , but it should age wealth well , call it classy . inside is a different story where , unlike previous generations , the interior actually looks and feels different . this is the modern interpretation of bmw classic aesthetic i'd always hoped for .",shape,lack edge,neg
15,2,"it's conservative shape might lack edge , but it should age wealth well , call it classy . inside is a different story where , unlike previous generations , the interior actually looks and feels different . this is the modern interpretation of bmw classic aesthetic i'd always hoped for .",shape,age well,pos
15,2,"it's conservative shape might lack edge , but it should age wealth well , call it classy . inside is a different story where , unlike previous generations , the interior actually looks and feels different . this is the modern interpretation of bmw classic aesthetic i'd always hoped for .",shape,classy,pos
15,2,"it's conservative shape might lack edge , but it should age wealth well , call it classy . inside is a different story where , unlike previous generations , the interior actually looks and feels different . this is the modern interpretation of bmw classic aesthetic i'd always hoped for .",interior,different,pos
15,2,"it's conservative shape might lack edge , but it should age wealth well , call it classy . inside is a different story where , unlike previous generations , the interior actually looks and feels different . this is the modern interpretation of bmw classic aesthetic i'd always hoped for .",car,modern interpretation of bmw classic aesthetic,pos
15,3,"and that stately character carries over to the driving experience because now the five series drives last like a larger a3 siri's and more like a smaller seven . if your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . to be clear , the five still grips , breaks and accelerates like a proper bmw . it's just the sensations of doing so have been deluded to some degree . as a result , though , a5 delivers big on comfort , right quality is just a hair further than that of the mercedes e class but still totally comfortable .",character,stately,pos
15,3,"and that stately character carries over to the driving experience because now the five series drives last like a larger a3 siri's and more like a smaller seven . if your taste lean more to the luxury side of the spectrum , this isn't necessarily a bad thing . to be clear , the five still grips , breaks and accelerates like a proper bmw . it's just the sensations of doing so have been deluded to some degree . as a result , though , a5 delivers big on comfort , right quality is just a hair further than that of the mercedes e class but still totally comfortable .",grip,proper bmw,pos
